,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,albumName,albumID
Welcome To My Battlegrounds (Original)___Tom Salta,0.508,0.623,9.0,-10.908,0.0,0.0297,0.0773,0.913,0.108,0.179,124.006,audio_features,1aQtqFfLUM70KDwcXzKCLO,spotify:track:1aQtqFfLUM70KDwcXzKCLO,https://api.spotify.com/v1/tracks/1aQtqFfLUM70KDwcXzKCLO,https://api.spotify.com/v1/audio-analysis/1aQtqFfLUM70KDwcXzKCLO,258871.0,4.0,Welcome To My Battlegrounds (Original),7cVfIxEpE3esebHF0Votw6
Shape of You___Ed Sheeran,0.825,0.652,1.0,-3.183,0.0,0.0802,0.581,0.0,0.0931,0.931,95.977,audio_features,7qiZfU4dY1lWllzX7mPBI3,spotify:track:7qiZfU4dY1lWllzX7mPBI3,https://api.spotify.com/v1/tracks/7qiZfU4dY1lWllzX7mPBI3,https://api.spotify.com/v1/audio-analysis/7qiZfU4dY1lWllzX7mPBI3,233713.0,4.0,÷ (Deluxe),3T4tUhGYeRNVUGevb0wThu
I Knew You Were Trouble (Taylor's Version)___Taylor Swift,0.584,0.557,6.0,-6.371,1.0,0.0342,0.0129,0.0,0.0576,0.767,154.008,audio_features,6AtZLIzUINvExIUy4QhdjP,spotify:track:6AtZLIzUINvExIUy4QhdjP,https://api.spotify.com/v1/tracks/6AtZLIzUINvExIUy4QhdjP,https://api.spotify.com/v1/audio-analysis/6AtZLIzUINvExIUy4QhdjP,219760.0,4.0,Red (Taylor's Version),6kZ42qRrzov54LcAk4onW9
Zingaat___Ajay Gogavale,0.767,0.855,9.0,-8.775,1.0,0.0853,0.473,0.219,0.165,0.677,130.01,audio_features,3h4SABo6CjPhJhWJK0rgrU,spotify:track:3h4SABo6CjPhJhWJK0rgrU,https://api.spotify.com/v1/tracks/3h4SABo6CjPhJhWJK0rgrU,https://api.spotify.com/v1/audio-analysis/3h4SABo6CjPhJhWJK0rgrU,226523.0,4.0,Sairat,4jn0rlsas9agqktCunLmir
Blurred Lines___Robin Thicke,0.861,0.504,7.0,-7.707,1.0,0.0489,0.00412,1.78e-05,0.0783,0.881,120.0,audio_features,5PUvinSo4MNqW7vmomGRS7,spotify:track:5PUvinSo4MNqW7vmomGRS7,https://api.spotify.com/v1/tracks/5PUvinSo4MNqW7vmomGRS7,https://api.spotify.com/v1/audio-analysis/5PUvinSo4MNqW7vmomGRS7,263053.0,4.0,Blurred Lines,2qVN3yVtkrPT9YL7djTNwt
The Moment I Knew (Taylor's Version)___Taylor Swift,0.636,0.402,7.0,-7.855,1.0,0.031,0.0494,0.0,0.107,0.208,125.952,audio_features,0NRHj8hDwwmSPaA41o379r,spotify:track:0NRHj8hDwwmSPaA41o379r,https://api.spotify.com/v1/tracks/0NRHj8hDwwmSPaA41o379r,https://api.spotify.com/v1/audio-analysis/0NRHj8hDwwmSPaA41o379r,285280.0,4.0,Red (Taylor's Version),6kZ42qRrzov54LcAk4onW9
Someone Else in the Dark___Sophie Michelle,0.612,0.562,6.0,-8.944,1.0,0.0865,0.488,0.0,0.25,0.333,89.874,audio_features,31q7yumF9dLJsU2YhLFWOp,spotify:track:31q7yumF9dLJsU2YhLFWOp,https://api.spotify.com/v1/tracks/31q7yumF9dLJsU2YhLFWOp,https://api.spotify.com/v1/audio-analysis/31q7yumF9dLJsU2YhLFWOp,176167.0,4.0,Someone Else in the Dark,1EHUcf0kWUEGHy0rv1kMtr
"Kesariya Audio Teaser (From ""Brahmastra"")___Pritam",0.56,0.634,0.0,-8.803,1.0,0.031,0.435,0.00435,0.0983,0.465,94.024,audio_features,46NYX9zIml71qtfYYjakTI,spotify:track:46NYX9zIml71qtfYYjakTI,https://api.spotify.com/v1/tracks/46NYX9zIml71qtfYYjakTI,https://api.spotify.com/v1/audio-analysis/46NYX9zIml71qtfYYjakTI,44699.0,4.0,"Kesariya Audio Teaser (From ""Brahmastra"")",715BUKTdGdNjePHLhRltCT
Wildest Dreams (Taylor's Version)___Taylor Swift,0.583,0.67,8.0,-7.289,1.0,0.0646,0.0374,0.0001,0.126,0.498,140.061,audio_features,1Ov37jtRQ2YNAe8HzfczkL,spotify:track:1Ov37jtRQ2YNAe8HzfczkL,https://api.spotify.com/v1/tracks/1Ov37jtRQ2YNAe8HzfczkL,https://api.spotify.com/v1/audio-analysis/1Ov37jtRQ2YNAe8HzfczkL,220433.0,4.0,Wildest Dreams (Taylor's Version),5hxKw2PurC0i1VVJMAntDU
Star Wars: Imperial March___John Williams,0.577,0.379,7.0,-13.82,0.0,0.0368,0.753,0.955,0.126,0.284,103.112,audio_features,2bw4WgXyXP90hIex7ur58y,spotify:track:2bw4WgXyXP90hIex7ur58y,https://api.spotify.com/v1/tracks/2bw4WgXyXP90hIex7ur58y,https://api.spotify.com/v1/audio-analysis/2bw4WgXyXP90hIex7ur58y,179573.0,4.0,Star Wars: The Empire Strikes Back (Original Motion Picture Soundtrack),44TnXcUjTIHPBBROepl99a
TVA Title Card___Natalie Holt,0.542,0.331,1.0,-14.607,0.0,0.0387,0.134,0.69,0.628,0.0397,107.976,audio_features,0AtJpYaM71EChJC0TjdGVR,spotify:track:0AtJpYaM71EChJC0TjdGVR,https://api.spotify.com/v1/tracks/0AtJpYaM71EChJC0TjdGVR,https://api.spotify.com/v1/audio-analysis/0AtJpYaM71EChJC0TjdGVR,98485.0,3.0,Loki: Vol. 1 (Episodes 1-3) [Original Soundtrack],5Wc11R3nufO8ZAFFhvBGEe
The Haunting of Bly Manor (Main Titles)___The Newton Brothers,0.148,0.494,8.0,-12.759,1.0,0.0348,0.0844,0.696,0.112,0.14,74.653,audio_features,6yqZjufKRD1pgfppmVeMv1,spotify:track:6yqZjufKRD1pgfppmVeMv1,https://api.spotify.com/v1/tracks/6yqZjufKRD1pgfppmVeMv1,https://api.spotify.com/v1/audio-analysis/6yqZjufKRD1pgfppmVeMv1,66972.0,4.0,The Haunting of Bly Manor (Music from the Netflix Horror Series),3Aszp8uII3RV05ZZJ7mpBo
Uncharted: Nate's Theme___Tina Guo,0.214,0.505,0.0,-10.541,1.0,0.0492,0.0926,0.767,0.137,0.0513,125.062,audio_features,56yEJQ4ufvfd8g3bWIDO3n,spotify:track:56yEJQ4ufvfd8g3bWIDO3n,https://api.spotify.com/v1/tracks/56yEJQ4ufvfd8g3bWIDO3n,https://api.spotify.com/v1/audio-analysis/56yEJQ4ufvfd8g3bWIDO3n,191787.0,4.0,Game On!,4XWVpIi0MZi8HpobkdUowf
On My Way___Alan Walker,0.509,0.689,1.0,-4.929,0.0,0.102,0.0209,0.0,0.301,0.297,170.087,audio_features,4n7jnSxVLd8QioibtTDBDq,spotify:track:4n7jnSxVLd8QioibtTDBDq,https://api.spotify.com/v1/tracks/4n7jnSxVLd8QioibtTDBDq,https://api.spotify.com/v1/audio-analysis/4n7jnSxVLd8QioibtTDBDq,193798.0,4.0,On My Way,1bcvtuHyO79DNAOOhHEkEm
