,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,albumName,albumID
Wake Me Up Before You Go-Go___Wham!,0.62,0.573,0.0,-11.893,1.0,0.0423,0.271,0.0,0.0607,0.897,81.548,audio_features,0ikz6tENMONtK6qGkOrU3c,spotify:track:0ikz6tENMONtK6qGkOrU3c,https://api.spotify.com/v1/tracks/0ikz6tENMONtK6qGkOrU3c,https://api.spotify.com/v1/audio-analysis/0ikz6tENMONtK6qGkOrU3c,231333.0,4.0,Make It Big,02f3y3NTsddjdUMoNiBppI
Let Me Down Slowly___Alec Benjamin,0.652,0.557,1.0,-5.714,0.0,0.0318,0.74,0.0,0.124,0.483,150.073,audio_features,2qxmye6gAegTMjLKEBoR3d,spotify:track:2qxmye6gAegTMjLKEBoR3d,https://api.spotify.com/v1/tracks/2qxmye6gAegTMjLKEBoR3d,https://api.spotify.com/v1/audio-analysis/2qxmye6gAegTMjLKEBoR3d,169354.0,4.0,Narrated For You,6jKZplJpy21R5lHaYHHjmZ
Sad Beautiful Tragic (Taylor's Version)___Taylor Swift,0.601,0.406,7.0,-11.827,1.0,0.0275,0.622,9.19e-05,0.133,0.232,130.059,audio_features,73qMN9bXy7MSPwwGfH3wQr,spotify:track:73qMN9bXy7MSPwwGfH3wQr,https://api.spotify.com/v1/tracks/73qMN9bXy7MSPwwGfH3wQr,https://api.spotify.com/v1/audio-analysis/73qMN9bXy7MSPwwGfH3wQr,284773.0,3.0,Red (Taylor's Version),6kZ42qRrzov54LcAk4onW9
London Boy___Taylor Swift,0.695,0.71,1.0,-6.639,1.0,0.05,0.0246,0.000104,0.133,0.557,157.925,audio_features,1LLXZFeAHK9R4xUramtUKw,spotify:track:1LLXZFeAHK9R4xUramtUKw,https://api.spotify.com/v1/tracks/1LLXZFeAHK9R4xUramtUKw,https://api.spotify.com/v1/audio-analysis/1LLXZFeAHK9R4xUramtUKw,190240.0,4.0,Lover,1NAmidJlEaVgA3MpcPFYGq
Khairiyat___Pritam,0.534,0.481,0.0,-9.016,0.0,0.0412,0.697,0.0,0.142,0.293,124.914,audio_features,5O932cZmzOZGOGZz9RHx20,spotify:track:5O932cZmzOZGOGZz9RHx20,https://api.spotify.com/v1/tracks/5O932cZmzOZGOGZz9RHx20,https://api.spotify.com/v1/audio-analysis/5O932cZmzOZGOGZz9RHx20,280282.0,4.0,Chhichhore,2Svje8vKEM4VCKxoRyAvA4
The Rise and Fall of Bossanova Section IV___P C III,,,,,,,,,,,,,,,,,,,,
Kråkevisa___Sissel Morken Gullord,0.354,0.595,2.0,-6.685,1.0,0.0412,0.0293,5.91e-06,0.102,0.234,91.244,audio_features,6m8DP9BxmR1RzO3JWyriCx,spotify:track:6m8DP9BxmR1RzO3JWyriCx,https://api.spotify.com/v1/tracks/6m8DP9BxmR1RzO3JWyriCx,https://api.spotify.com/v1/audio-analysis/6m8DP9BxmR1RzO3JWyriCx,172396.0,4.0,Kråkevisa,6eGwnIGnAxfPzUdo3hlyhd
Dark Materials: Between the Worlds___Lorne Balfe,0.266,0.468,5.0,-11.038,0.0,0.0353,0.173,0.903,0.106,0.531,129.578,audio_features,6qwl626ocUuvabjfRe33Rg,spotify:track:6qwl626ocUuvabjfRe33Rg,https://api.spotify.com/v1/tracks/6qwl626ocUuvabjfRe33Rg,https://api.spotify.com/v1/audio-analysis/6qwl626ocUuvabjfRe33Rg,94453.0,4.0,The Musical Anthology of His Dark Materials Series 2,4FJbstmmANWDoxnlQ54xVF
abcdefu (angrier)___GAYLE,0.671,0.599,4.0,-6.18,1.0,0.0405,0.0658,0.0,0.101,0.448,121.849,audio_features,1EQFOouqdKYdpbNoOHRVO2,spotify:track:1EQFOouqdKYdpbNoOHRVO2,https://api.spotify.com/v1/tracks/1EQFOouqdKYdpbNoOHRVO2,https://api.spotify.com/v1/audio-analysis/1EQFOouqdKYdpbNoOHRVO2,159836.0,3.0,abcdefu (angrier),23M1xUF2RoRSvXtpwQP4rJ
"Episode 100: Tesla Cybertruck Reactions, 5G vs Planes, and Q&A!___Waveform: The MKBHD Podcast",0.724,0.387,9.0,-15.086,1.0,0.81,0.605,0.00054,0.0693,0.0897,119.983,audio_features,6olLOlKVEk9Y4xccc8pIAP,spotify:track:6olLOlKVEk9Y4xccc8pIAP,https://api.spotify.com/v1/tracks/6olLOlKVEk9Y4xccc8pIAP,https://api.spotify.com/v1/audio-analysis/6olLOlKVEk9Y4xccc8pIAP,208244.0,4.0,Tesla Cybertruck (feat. Loopey),3t1j3rQBSjoaMexWwPx0UB
What Makes You Beautiful___One Direction,0.726,0.787,4.0,-2.494,1.0,0.0737,0.009,0.0,0.0596,0.888,124.99,audio_features,4cluDES4hQEUhmXj6TXkSo,spotify:track:4cluDES4hQEUhmXj6TXkSo,https://api.spotify.com/v1/tracks/4cluDES4hQEUhmXj6TXkSo,https://api.spotify.com/v1/audio-analysis/4cluDES4hQEUhmXj6TXkSo,199987.0,4.0,Up All Night,6cunQQ7YZisYOoiFu2ywIq
Doctor Strange Trailer Music - Cover Version___Krutikov Music,0.452,0.569,6.0,-10.777,1.0,0.038,0.344,0.689,0.268,0.0474,125.012,audio_features,2L0L8ifjZoG7NC0LGNj4oK,spotify:track:2L0L8ifjZoG7NC0LGNj4oK,https://api.spotify.com/v1/tracks/2L0L8ifjZoG7NC0LGNj4oK,https://api.spotify.com/v1/audio-analysis/2L0L8ifjZoG7NC0LGNj4oK,121701.0,4.0,Doctor Strange 2 Trailer Music (In The Multiverse of Madness Soundtrack),2wWf81ScNtzw4nvUDNEibc
Valkyrie___Robin Carolan,0.381,0.658,8.0,-13.114,1.0,0.0609,0.151,0.844,0.0981,0.0582,123.044,audio_features,57numRuLPDSKzLiwf9Q9sO,spotify:track:57numRuLPDSKzLiwf9Q9sO,https://api.spotify.com/v1/tracks/57numRuLPDSKzLiwf9Q9sO,https://api.spotify.com/v1/audio-analysis/57numRuLPDSKzLiwf9Q9sO,69505.0,4.0,The Northman (Original Motion Picture Soundtrack),6BYwH7XRUN5foD9RcDYaQE
Hold On___Justin Bieber,0.658,0.634,1.0,-6.068,0.0,0.0431,0.0104,0.0,0.12,0.302,140.002,audio_features,1nahzW3kfMuwReTka28tH5,spotify:track:1nahzW3kfMuwReTka28tH5,https://api.spotify.com/v1/tracks/1nahzW3kfMuwReTka28tH5,https://api.spotify.com/v1/audio-analysis/1nahzW3kfMuwReTka28tH5,170813.0,4.0,Justice,5dGWwsZ9iB2Xc3UKR0gif2
Cruel Summer___Taylor Swift,0.552,0.702,9.0,-5.707,1.0,0.157,0.117,2.06e-05,0.105,0.564,169.994,audio_features,1BxfuPKGuaTgP7aM0Bbdwr,spotify:track:1BxfuPKGuaTgP7aM0Bbdwr,https://api.spotify.com/v1/tracks/1BxfuPKGuaTgP7aM0Bbdwr,https://api.spotify.com/v1/audio-analysis/1BxfuPKGuaTgP7aM0Bbdwr,178427.0,4.0,Lover,1NAmidJlEaVgA3MpcPFYGq
Venom - Music From The Motion Picture___Eminem,0.75,0.789,0.0,-5.058,1.0,0.0647,0.0148,0.0,0.501,0.467,135.954,audio_features,3kpYJjvM8Ja6btr5hEJLWc,spotify:track:3kpYJjvM8Ja6btr5hEJLWc,https://api.spotify.com/v1/tracks/3kpYJjvM8Ja6btr5hEJLWc,https://api.spotify.com/v1/audio-analysis/3kpYJjvM8Ja6btr5hEJLWc,269573.0,4.0,Venom (Music From The Motion Picture),25zSh5FAL8kUh8z7ivwBH6
"Chrissy, Wake Up___The Gregory Brothers",0.839,0.765,2.0,-5.603,1.0,0.0851,0.16,0.0,0.1,0.656,119.917,audio_features,6w2pWpwDY4igt0UAtowyAV,spotify:track:6w2pWpwDY4igt0UAtowyAV,https://api.spotify.com/v1/tracks/6w2pWpwDY4igt0UAtowyAV,https://api.spotify.com/v1/audio-analysis/6w2pWpwDY4igt0UAtowyAV,65455.0,4.0,"Chrissy, Wake Up",5pTUl9j9aiSHSdWp1gt0jb
STAY (with Justin Bieber)___The Kid LAROI,0.591,0.764,1.0,-5.484,1.0,0.0483,0.0383,0.0,0.103,0.478,169.928,audio_features,5HCyWlXZPP0y6Gqq8TgA20,spotify:track:5HCyWlXZPP0y6Gqq8TgA20,https://api.spotify.com/v1/tracks/5HCyWlXZPP0y6Gqq8TgA20,https://api.spotify.com/v1/audio-analysis/5HCyWlXZPP0y6Gqq8TgA20,141806.0,4.0,STAY (with Justin Bieber),4QLAtpLNUsHEYrcHXmMIZZ
What if someone spoiled spiderman no way home for us? Men of Culture 1___Men of Culture,0.335,0.313,8.0,-13.518,1.0,0.036,0.135,0.339,0.129,0.0391,94.973,audio_features,0KifiEFgGD9u2UnzUAh8Su,spotify:track:0KifiEFgGD9u2UnzUAh8Su,https://api.spotify.com/v1/tracks/0KifiEFgGD9u2UnzUAh8Su,https://api.spotify.com/v1/audio-analysis/0KifiEFgGD9u2UnzUAh8Su,197514.0,4.0,Spider-Man: No Way Home - Trailer Music (Cover Version),4NZKBkcic6IpfqAuzJ3jqS
Closer___The Chainsmokers,0.748,0.524,8.0,-5.599,1.0,0.0338,0.414,0.0,0.111,0.661,95.01,audio_features,7BKLCZ1jbUBVqRi2FVlTVw,spotify:track:7BKLCZ1jbUBVqRi2FVlTVw,https://api.spotify.com/v1/tracks/7BKLCZ1jbUBVqRi2FVlTVw,https://api.spotify.com/v1/audio-analysis/7BKLCZ1jbUBVqRi2FVlTVw,244960.0,4.0,Closer,0rSLgV8p5FzfnqlEk4GzxE
Vendetta___UNSECRET,0.462,0.828,10.0,-6.801,0.0,0.133,0.101,0.0091,0.118,0.233,166.039,audio_features,5aoPr7WqSXDqaYnmIluPdW,spotify:track:5aoPr7WqSXDqaYnmIluPdW,https://api.spotify.com/v1/tracks/5aoPr7WqSXDqaYnmIluPdW,https://api.spotify.com/v1/audio-analysis/5aoPr7WqSXDqaYnmIluPdW,213680.0,4.0,Vendetta,1WRGjurhS5ERX1IUtgoQVi
Blank Space___Taylor Swift,0.76,0.703,5.0,-5.412,1.0,0.054,0.103,0.0,0.0913,0.57,95.997,audio_features,1u8c2t2Cy7UBoG4ArRcF5g,spotify:track:1u8c2t2Cy7UBoG4ArRcF5g,https://api.spotify.com/v1/tracks/1u8c2t2Cy7UBoG4ArRcF5g,https://api.spotify.com/v1/audio-analysis/1u8c2t2Cy7UBoG4ArRcF5g,231827.0,4.0,1989 (Deluxe),1yGbNOtRIgdIiGHOEBaZWf
Let Somebody Go___Coldplay,0.592,0.342,0.0,-8.93,1.0,0.0339,0.193,0.00245,0.11,0.155,130.953,audio_features,4cGqn0E8JCSY9gQllQj4Mf,spotify:track:4cGqn0E8JCSY9gQllQj4Mf,https://api.spotify.com/v1/tracks/4cGqn0E8JCSY9gQllQj4Mf,https://api.spotify.com/v1/audio-analysis/4cGqn0E8JCSY9gQllQj4Mf,241595.0,4.0,Music Of The Spheres,06mXfvDsRZNfnsGZvX2zpb
MAYDAY___TheFatRat,0.416,0.564,6.0,-7.092,0.0,0.032,0.0138,0.00567,0.105,0.132,149.718,audio_features,5xXB7wVgRmBHoMBmcfEE3C,spotify:track:5xXB7wVgRmBHoMBmcfEE3C,https://api.spotify.com/v1/tracks/5xXB7wVgRmBHoMBmcfEE3C,https://api.spotify.com/v1/audio-analysis/5xXB7wVgRmBHoMBmcfEE3C,247340.0,4.0,MAYDAY,0BUA0E0qSDe7qkcsucwHS0
Smartphone Season: Samsung Galaxy Note 10 & Note 10+...Everything We Know___Waveform: The MKBHD Podcast,0.788,0.281,4.0,-14.332,0.0,0.281,0.274,7.48e-06,0.0824,0.389,160.081,audio_features,7mHvoQg6RbBnqlYcM1IFHO,spotify:track:7mHvoQg6RbBnqlYcM1IFHO,https://api.spotify.com/v1/tracks/7mHvoQg6RbBnqlYcM1IFHO,https://api.spotify.com/v1/audio-analysis/7mHvoQg6RbBnqlYcM1IFHO,205100.0,4.0,Iphone Samsung,43CrLqSPojnztyl3oGDxX0
Our Song___Taylor Swift,0.667,0.659,2.0,-4.932,1.0,0.0298,0.113,0.0,0.325,0.575,89.128,audio_features,43H3q2NWT9LCuYS1B5IUvV,spotify:track:43H3q2NWT9LCuYS1B5IUvV,https://api.spotify.com/v1/tracks/43H3q2NWT9LCuYS1B5IUvV,https://api.spotify.com/v1/audio-analysis/43H3q2NWT9LCuYS1B5IUvV,203440.0,4.0,Taylor Swift (Big Machine Radio Release Special),2rU7u7C2v5i45MFVxx7xG1
we fell in love in october___girl in red,0.566,0.366,7.0,-12.808,1.0,0.028,0.113,0.181,0.155,0.237,129.959,audio_features,1BYZxKSf0aTxp8ZFoeyM3d,spotify:track:1BYZxKSf0aTxp8ZFoeyM3d,https://api.spotify.com/v1/tracks/1BYZxKSf0aTxp8ZFoeyM3d,https://api.spotify.com/v1/audio-analysis/1BYZxKSf0aTxp8ZFoeyM3d,184154.0,4.0,we fell in love in october / forget her,4oRcMHsdNG9IAF3xwv1kWu
Singing Alone___Melani,0.733,0.789,8.0,-4.824,1.0,0.0317,0.257,0.0,0.0862,0.543,98.071,audio_features,645IDz6tQZmXfXTSgiM0U7,spotify:track:645IDz6tQZmXfXTSgiM0U7,https://api.spotify.com/v1/tracks/645IDz6tQZmXfXTSgiM0U7,https://api.spotify.com/v1/audio-analysis/645IDz6tQZmXfXTSgiM0U7,168313.0,4.0,Singing Alone,7w8am05M7PgAXK71rO5ty6
Venom___Little Simz,0.436,0.655,7.0,-8.153,1.0,0.159,0.425,0.0,0.393,0.523,139.712,audio_features,3A0ITFj6kbb9CggwtPe55f,spotify:track:3A0ITFj6kbb9CggwtPe55f,https://api.spotify.com/v1/tracks/3A0ITFj6kbb9CggwtPe55f,https://api.spotify.com/v1/audio-analysis/3A0ITFj6kbb9CggwtPe55f,154749.0,4.0,GREY Area,4Wwm4xg2748zhYuzDRFTgY
"O Saki Saki (From ""Batla House"")___Neha Kakkar",0.737,0.961,10.0,-0.155,0.0,0.0747,0.163,0.0,0.361,0.567,108.014,audio_features,4cFwhwH5ydnHgB0Tv3lZsm,spotify:track:4cFwhwH5ydnHgB0Tv3lZsm,https://api.spotify.com/v1/tracks/4cFwhwH5ydnHgB0Tv3lZsm,https://api.spotify.com/v1/audio-analysis/4cFwhwH5ydnHgB0Tv3lZsm,191089.0,4.0,"O Saki Saki (From ""Batla House"")",0te1B7RLmSG29MBoj0cKzq
clap game___joseph bishara,0.174,0.0807,1.0,-31.521,1.0,0.0487,0.0696,0.939,0.0858,0.0351,132.157,audio_features,3mN0hjAZP04wdaLVU7jhEI,spotify:track:3mN0hjAZP04wdaLVU7jhEI,https://api.spotify.com/v1/tracks/3mN0hjAZP04wdaLVU7jhEI,https://api.spotify.com/v1/audio-analysis/3mN0hjAZP04wdaLVU7jhEI,321920.0,5.0,The Conjuring (Original Motion Picture Soundtrack),5p6mALCoHd3Ugv10lKEQon
"Run To Me - From The ""Home"" Soundtrack___Clarence Coffee Jr.",0.6,0.615,3.0,-6.19,1.0,0.0807,0.0681,0.0,0.0814,0.448,122.048,audio_features,6JW9VY9Tjo6kDkbQGQDFLu,spotify:track:6JW9VY9Tjo6kDkbQGQDFLu,https://api.spotify.com/v1/tracks/6JW9VY9Tjo6kDkbQGQDFLu,https://api.spotify.com/v1/audio-analysis/6JW9VY9Tjo6kDkbQGQDFLu,254307.0,4.0,Home (Original Motion Picture Soundtrack),4jzv8VHqVBSt6wHCNHpWZv
Treacherous (Taylor's Version)___Taylor Swift,0.645,0.593,2.0,-6.506,1.0,0.0288,0.0344,0.000127,0.13,0.299,109.984,audio_features,3S7HNKPakdwNEBFIVTL6dZ,spotify:track:3S7HNKPakdwNEBFIVTL6dZ,https://api.spotify.com/v1/tracks/3S7HNKPakdwNEBFIVTL6dZ,https://api.spotify.com/v1/audio-analysis/3S7HNKPakdwNEBFIVTL6dZ,242720.0,4.0,Red (Taylor's Version),6kZ42qRrzov54LcAk4onW9
Sweet Child O' Mine___Guns N' Roses,0.454,0.91,6.0,-7.766,1.0,0.0448,0.0866,0.0996,0.116,0.629,125.116,audio_features,7o2CTH4ctstm8TNelqjb51,spotify:track:7o2CTH4ctstm8TNelqjb51,https://api.spotify.com/v1/tracks/7o2CTH4ctstm8TNelqjb51,https://api.spotify.com/v1/audio-analysis/7o2CTH4ctstm8TNelqjb51,354520.0,4.0,Appetite For Destruction,3I9Z1nDCL4E0cP62flcbI5
Stranger Things 4 Main Theme (Running Up That Hill)___Krutikov Music,0.168,0.522,4.0,-13.662,0.0,0.0424,0.402,0.916,0.105,0.0373,83.952,audio_features,7FwBT0ARZIVanXsxI9fMOa,spotify:track:7FwBT0ARZIVanXsxI9fMOa,https://api.spotify.com/v1/tracks/7FwBT0ARZIVanXsxI9fMOa,https://api.spotify.com/v1/audio-analysis/7FwBT0ARZIVanXsxI9fMOa,170446.0,4.0,Stranger Things 4 Main Theme (Running Up That Hill),0Kjj1dgp2wfgYuXKIEv6iL
Star Spangled Man___The Star Spangled Singers,0.566,0.578,7.0,-7.528,1.0,0.0408,0.83,1.8e-05,0.147,0.478,136.041,audio_features,0U9i80PmEhdWAfDUeOuuWU,spotify:track:0U9i80PmEhdWAfDUeOuuWU,https://api.spotify.com/v1/tracks/0U9i80PmEhdWAfDUeOuuWU,https://api.spotify.com/v1/audio-analysis/0U9i80PmEhdWAfDUeOuuWU,173360.0,4.0,Captain America: The First Avenger,0La1Tskamjd6akysepE8r5
The Story Of Us___Taylor Swift,0.546,0.809,4.0,-3.621,1.0,0.041,0.00487,0.000372,0.0437,0.649,139.91,audio_features,2jt90bYlYDg1lXYWES34LJ,spotify:track:2jt90bYlYDg1lXYWES34LJ,https://api.spotify.com/v1/tracks/2jt90bYlYDg1lXYWES34LJ,https://api.spotify.com/v1/audio-analysis/2jt90bYlYDg1lXYWES34LJ,266480.0,4.0,Speak Now (Deluxe Package),6S6JQWzUrJVcJLK4fi74Fw
"New Mac Studio, M1 Ultra, and More from Apple’s Spring Event!___Waveform: The MKBHD Podcast",,,,,,,,,,,,,,,,,,,,
Something In The Way___Nirvana,0.427,0.201,8.0,-13.044,1.0,0.0317,0.745,0.263,0.109,0.0668,105.218,audio_features,4gHnSNHs8RyVukKoWdS99f,spotify:track:4gHnSNHs8RyVukKoWdS99f,https://api.spotify.com/v1/tracks/4gHnSNHs8RyVukKoWdS99f,https://api.spotify.com/v1/audio-analysis/4gHnSNHs8RyVukKoWdS99f,232147.0,4.0,Nevermind (Remastered),2UJcKiJxNryhL050F5Z1Fk
Thunderstruck___AC/DC,0.502,0.89,4.0,-5.175,1.0,0.0364,0.000147,0.0117,0.217,0.259,133.52,audio_features,57bgtoPSgt236HzfBOd8kj,spotify:track:57bgtoPSgt236HzfBOd8kj,https://api.spotify.com/v1/tracks/57bgtoPSgt236HzfBOd8kj,https://api.spotify.com/v1/audio-analysis/57bgtoPSgt236HzfBOd8kj,292880.0,4.0,The Razors Edge,4vu7F6h90Br1ZtYYaqfITy
Bad Man___Nick Johnson,0.397,0.536,10.0,-6.812,0.0,0.0685,0.0914,0.0,0.0884,0.301,81.183,audio_features,7hAZZj0Obta5dS1oYzWBcu,spotify:track:7hAZZj0Obta5dS1oYzWBcu,https://api.spotify.com/v1/tracks/7hAZZj0Obta5dS1oYzWBcu,https://api.spotify.com/v1/audio-analysis/7hAZZj0Obta5dS1oYzWBcu,200824.0,4.0,Bad Man,2uhHLaAF3So40oY7DF8BRg
"Even When/The Best Part - From ""High School Musical: The Musical: The Series (Season 2)""___Olivia Rodrigo",0.522,0.336,0.0,-8.577,1.0,0.0275,0.714,0.0,0.109,0.566,90.646,audio_features,30UszgTxEuJVG5SUFyBffT,spotify:track:30UszgTxEuJVG5SUFyBffT,https://api.spotify.com/v1/tracks/30UszgTxEuJVG5SUFyBffT,https://api.spotify.com/v1/audio-analysis/30UszgTxEuJVG5SUFyBffT,106881.0,4.0,"Even When/The Best Part [From ""High School Musical: The Musical: The Series (Season 2)""]",2YLKW3LB4P1cEersm5YpAL
Alone___Alan Walker,0.67,0.668,3.0,-4.306,0.0,0.0422,0.536,0.0,0.133,0.608,88.033,audio_features,0bMbDctzMmTyK2j74j3nF3,spotify:track:0bMbDctzMmTyK2j74j3nF3,https://api.spotify.com/v1/tracks/0bMbDctzMmTyK2j74j3nF3,https://api.spotify.com/v1/audio-analysis/0bMbDctzMmTyK2j74j3nF3,179053.0,4.0,"Alone, Pt. II",700MviIgFKNTldTXmOAFOr
Heat Waves___Glass Animals,0.761,0.525,11.0,-6.9,1.0,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,audio_features,3USxtqRwSYz57Ewm6wWRMp,spotify:track:3USxtqRwSYz57Ewm6wWRMp,https://api.spotify.com/v1/tracks/3USxtqRwSYz57Ewm6wWRMp,https://api.spotify.com/v1/audio-analysis/3USxtqRwSYz57Ewm6wWRMp,238805.0,4.0,Dreamland,5bfpRtBW7RNRdsm3tRyl3R
Heather___Conan Gray,0.357,0.425,5.0,-7.301,1.0,0.0333,0.584,0.0,0.322,0.27,102.078,audio_features,4xqrdfXkTW4T0RauPLv3WA,spotify:track:4xqrdfXkTW4T0RauPLv3WA,https://api.spotify.com/v1/tracks/4xqrdfXkTW4T0RauPLv3WA,https://api.spotify.com/v1/audio-analysis/4xqrdfXkTW4T0RauPLv3WA,198040.0,3.0,Kid Krow,2CMlkzFI2oDAy5MbyV7OV5
Jalebi Baby___Tesher,0.691,0.829,0.0,-7.179,1.0,0.0412,0.0289,0.0,0.254,0.866,93.059,audio_features,6FvSS3Goz7OC8oCC2eWqe8,spotify:track:6FvSS3Goz7OC8oCC2eWqe8,https://api.spotify.com/v1/tracks/6FvSS3Goz7OC8oCC2eWqe8,https://api.spotify.com/v1/audio-analysis/6FvSS3Goz7OC8oCC2eWqe8,169154.0,4.0,Jalebi Baby (Tesher x Jason Derulo),7JXaassDX0q7XtdJLepSGd
Hermod Unge Og Gygri___Øyonn Groven Myhren,0.517,0.149,0.0,-13.221,1.0,0.0473,0.994,0.000331,0.109,0.8,90.695,audio_features,3OrMK8f7wnGZiWFFk2xT3Q,spotify:track:3OrMK8f7wnGZiWFFk2xT3Q,https://api.spotify.com/v1/tracks/3OrMK8f7wnGZiWFFk2xT3Q,https://api.spotify.com/v1/audio-analysis/3OrMK8f7wnGZiWFFk2xT3Q,260853.0,4.0,Gullveven,6iQzE3vgQhFMKC0U3Fr9Vr
Invisible___Taylor Swift,0.653,0.452,4.0,-11.143,0.0,0.055,0.838,7.73e-05,0.108,0.45,83.433,audio_features,6VsvKPJ4xjVNKpI8VVZ3SV,spotify:track:6VsvKPJ4xjVNKpI8VVZ3SV,https://api.spotify.com/v1/tracks/6VsvKPJ4xjVNKpI8VVZ3SV,https://api.spotify.com/v1/audio-analysis/6VsvKPJ4xjVNKpI8VVZ3SV,252881.0,4.0,folklore,2fenSS68JI1h4Fo296JfGr
Cornfield Chase___Hans Zimmer,0.18,0.226,9.0,-16.457,0.0,0.042,0.951,0.982,0.0998,0.048,94.079,audio_features,6pWgRkpqVfxnj3WuIcJ7WP,spotify:track:6pWgRkpqVfxnj3WuIcJ7WP,https://api.spotify.com/v1/tracks/6pWgRkpqVfxnj3WuIcJ7WP,https://api.spotify.com/v1/audio-analysis/6pWgRkpqVfxnj3WuIcJ7WP,126960.0,4.0,Interstellar (Original Motion Picture Soundtrack) [Expanded Edition],3B61kSKTxlY36cYgzvf3cP
Running Up That Hill (A Deal With God) - 2018 Remaster___Kate Bush,0.625,0.533,10.0,-11.903,0.0,0.0596,0.659,0.00266,0.0546,0.139,108.296,audio_features,29d0nY7TzCoi22XBqDQkiP,spotify:track:29d0nY7TzCoi22XBqDQkiP,https://api.spotify.com/v1/tracks/29d0nY7TzCoi22XBqDQkiP,https://api.spotify.com/v1/audio-analysis/29d0nY7TzCoi22XBqDQkiP,300840.0,4.0,Hounds of Love (2018 Remaster),3OYnManu1Nlxnw9OMng7BH
Stars Crossed___Olivia Sanabia,0.629,0.591,6.0,-8.702,1.0,0.0443,0.443,2.43e-06,0.0717,0.547,153.965,audio_features,2sqAm0feHglxC4y4Cmr42e,spotify:track:2sqAm0feHglxC4y4Cmr42e,https://api.spotify.com/v1/tracks/2sqAm0feHglxC4y4Cmr42e,https://api.spotify.com/v1/audio-analysis/2sqAm0feHglxC4y4Cmr42e,221500.0,4.0,Stars Crossed,3orvYVz39zr8Nzvi8RgTAC
Lamberghini___The Doorbeen,0.957,0.579,11.0,-7.257,1.0,0.0512,0.5,0.0,0.0737,0.856,103.981,audio_features,0N8eNF7HSu4wlZFcmjLUxt,spotify:track:0N8eNF7HSu4wlZFcmjLUxt,https://api.spotify.com/v1/tracks/0N8eNF7HSu4wlZFcmjLUxt,https://api.spotify.com/v1/audio-analysis/0N8eNF7HSu4wlZFcmjLUxt,216905.0,4.0,Lamberghini,3KxKhd9pUigdnwWupNXGX2
Late Night Talking___Harry Styles,0.714,0.728,10.0,-4.595,1.0,0.0468,0.298,0.0,0.106,0.901,114.996,audio_features,1qEmFfgcLObUfQm0j1W2CK,spotify:track:1qEmFfgcLObUfQm0j1W2CK,https://api.spotify.com/v1/tracks/1qEmFfgcLObUfQm0j1W2CK,https://api.spotify.com/v1/audio-analysis/1qEmFfgcLObUfQm0j1W2CK,177955.0,4.0,Harry's House,5r36AJ6VOJtp00oxSkBZ5h
Saknad___Dvergmål,0.4,0.159,9.0,-9.717,1.0,0.0335,0.968,0.0,0.119,0.211,130.931,audio_features,6E5GF7Au70etjUa2TCGQvy,spotify:track:6E5GF7Au70etjUa2TCGQvy,https://api.spotify.com/v1/tracks/6E5GF7Au70etjUa2TCGQvy,https://api.spotify.com/v1/audio-analysis/6E5GF7Au70etjUa2TCGQvy,150335.0,1.0,Visor Og Kvæde Frå Blåberglandet,48TPARl1klaDNKR2KplYi9
Let Me Love You___DJ Snake,0.649,0.716,8.0,-5.371,1.0,0.0349,0.0863,2.63e-05,0.135,0.163,99.988,audio_features,0lYBSQXN6rCTvUZvg9S0lU,spotify:track:0lYBSQXN6rCTvUZvg9S0lU,https://api.spotify.com/v1/tracks/0lYBSQXN6rCTvUZvg9S0lU,https://api.spotify.com/v1/audio-analysis/0lYBSQXN6rCTvUZvg9S0lU,205947.0,4.0,Encore,02sEJTj1sye1JaqxqpcSCp
His Dark Materials___Lorne Balfe,0.303,0.526,0.0,-9.915,0.0,0.0314,0.303,0.854,0.0743,0.575,85.676,audio_features,6pvrI3mB6OWCuO9cYwEwm0,spotify:track:6pvrI3mB6OWCuO9cYwEwm0,https://api.spotify.com/v1/tracks/6pvrI3mB6OWCuO9cYwEwm0,https://api.spotify.com/v1/audio-analysis/6pvrI3mB6OWCuO9cYwEwm0,98099.0,4.0,The Musical Anthology of His Dark Materials (Music from the Television Series),6iK2DLWboaTddgvgVgxWai
Agatha All Along___Kristen Anderson-Lopez,0.434,0.711,5.0,-3.875,1.0,0.0533,0.494,0.0,0.15,0.819,71.655,audio_features,0kHsXoIt6dONEdkgKgyjoK,spotify:track:0kHsXoIt6dONEdkgKgyjoK,https://api.spotify.com/v1/tracks/0kHsXoIt6dONEdkgKgyjoK,https://api.spotify.com/v1/audio-analysis/0kHsXoIt6dONEdkgKgyjoK,62613.0,4.0,WandaVision: Episode 7 (Original Soundtrack),5ALs5g5Hfd0EaLLzA2Cgza
