,name,endTime,artistName,trackName,msPlayed,datetime,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,albumName,albumID
808,abcdefu (angrier)___GAYLE,2022-03-26 13:06,GAYLE,abcdefu (angrier),17086,2022-03-26 13:06:00,0.671,0.599,4.0,-6.18,1.0,0.0405,0.0658,0.0,0.101,0.448,121.849,audio_features,1EQFOouqdKYdpbNoOHRVO2,spotify:track:1EQFOouqdKYdpbNoOHRVO2,https://api.spotify.com/v1/tracks/1EQFOouqdKYdpbNoOHRVO2,https://api.spotify.com/v1/audio-analysis/1EQFOouqdKYdpbNoOHRVO2,159836.0,3.0,abcdefu (angrier),23M1xUF2RoRSvXtpwQP4rJ
809,Let's Keep It Going___Kristen Anderson-Lopez,2022-03-26 13:07,Kristen Anderson-Lopez,Let's Keep It Going,56160,2022-03-26 13:07:00,0.566,0.86,2.0,-4.247,0.0,0.0785,0.0293,0.0,0.158,0.392,99.901,audio_features,276IEtvE1or7kMbjU7yTdA,spotify:track:276IEtvE1or7kMbjU7yTdA,https://api.spotify.com/v1/tracks/276IEtvE1or7kMbjU7yTdA,https://api.spotify.com/v1/audio-analysis/276IEtvE1or7kMbjU7yTdA,56160.0,4.0,WandaVision: Episode 6 (Original Soundtrack),11ZRjWuFFT38ept1Gw5yT1
810,My Road Leads into the Desert___Hans Zimmer,2022-03-26 13:07,Hans Zimmer,My Road Leads into the Desert,2755,2022-03-26 13:07:00,0.148,0.0195,4.0,-19.122,0.0,0.0461,0.46,0.948,0.0917,0.0299,105.085,audio_features,6pZAfbCHf1n85a3MSPuDDY,spotify:track:6pZAfbCHf1n85a3MSPuDDY,https://api.spotify.com/v1/tracks/6pZAfbCHf1n85a3MSPuDDY,https://api.spotify.com/v1/audio-analysis/6pZAfbCHf1n85a3MSPuDDY,232200.0,4.0,Dune (Original Motion Picture Soundtrack),56k8ay5oE5apR61WIeE4wQ
811,"The Avengers - From ""The Avengers""/Score___Alan Silvestri",2022-03-26 13:07,Alan Silvestri,"The Avengers - From ""The Avengers""/Score",2291,2022-03-26 13:07:00,0.25,0.553,7.0,-8.188,1.0,0.043,0.606,0.661,0.145,0.224,118.991,audio_features,6cuClER9HL24RpyTGuy2Ew,spotify:track:6cuClER9HL24RpyTGuy2Ew,https://api.spotify.com/v1/tracks/6cuClER9HL24RpyTGuy2Ew,https://api.spotify.com/v1/audio-analysis/6cuClER9HL24RpyTGuy2Ew,123360.0,4.0,Epic Gaming,18ccuDm8AWBAbzPBB0JQPI
812,"Agents of S.H.I.E.L.D. Overture - From ""Marvel's Agents of S.H.I.E.L.D.""/Score___Bear McCreary",2022-03-26 13:07,Bear McCreary,"Agents of S.H.I.E.L.D. Overture - From ""Marvel's Agents of S.H.I.E.L.D.""/Score",3203,2022-03-26 13:07:00,0.456,0.491,1.0,-13.023,1.0,0.0613,0.777,0.792,0.115,0.188,96.164,audio_features,7g5H7rvDNnb6VAaLxjCgW5,spotify:track:7g5H7rvDNnb6VAaLxjCgW5,https://api.spotify.com/v1/tracks/7g5H7rvDNnb6VAaLxjCgW5,https://api.spotify.com/v1/audio-analysis/7g5H7rvDNnb6VAaLxjCgW5,171960.0,4.0,Marvel's Agents of S.H.I.E.L.D.,0QC50e0EZ0MAYLbbbeit0M
813,Loki Green Theme___Natalie Holt,2022-03-26 13:10,Natalie Holt,Loki Green Theme,144761,2022-03-26 13:10:00,0.458,0.475,5.0,-12.581,1.0,0.032,0.76,0.836,0.125,0.132,126.055,audio_features,5T7DUEeAj0hkMLTzIlDCRz,spotify:track:5T7DUEeAj0hkMLTzIlDCRz,https://api.spotify.com/v1/tracks/5T7DUEeAj0hkMLTzIlDCRz,https://api.spotify.com/v1/audio-analysis/5T7DUEeAj0hkMLTzIlDCRz,144762.0,4.0,Loki: Vol. 1 (Episodes 1-3) [Original Soundtrack],5Wc11R3nufO8ZAFFhvBGEe
814,Run It (feat. Rick Ross & Rich Brian)___DJ Snake,2022-03-26 13:13,DJ Snake,Run It (feat. Rick Ross & Rich Brian),163373,2022-03-26 13:13:00,0.688,0.725,2.0,-7.806,1.0,0.044,0.0195,7.63e-06,0.0726,0.225,104.006,audio_features,5x4vgABKiGp4Vg7ZyFRxhn,spotify:track:5x4vgABKiGp4Vg7ZyFRxhn,https://api.spotify.com/v1/tracks/5x4vgABKiGp4Vg7ZyFRxhn,https://api.spotify.com/v1/audio-analysis/5x4vgABKiGp4Vg7ZyFRxhn,163373.0,4.0,Shang-Chi and The Legend of The Ten Rings: The Album,2kAqjStKcwlDD59H0llhGC
815,His Dark Materials (From: His Dark Materials)___Geek Music,2022-03-26 13:14,Geek Music,His Dark Materials (From: His Dark Materials),93023,2022-03-26 13:14:00,0.318,0.424,5.0,-9.563,0.0,0.0304,0.346,0.95,0.139,0.487,85.852,audio_features,0d1frA6EfyfgZtV00a8kTs,spotify:track:0d1frA6EfyfgZtV00a8kTs,https://api.spotify.com/v1/tracks/0d1frA6EfyfgZtV00a8kTs,https://api.spotify.com/v1/audio-analysis/0d1frA6EfyfgZtV00a8kTs,93023.0,4.0,His Dark Materials (From: His Dark Materials),3rOIbpd5VJC9QewQ1SsuUf
816,brutal___Olivia Rodrigo,2022-03-28 03:13,Olivia Rodrigo,brutal,1003,2022-03-28 03:13:00,0.672,0.526,4.0,-6.446,1.0,0.0599,0.0311,1.37e-06,0.28,0.28,123.999,audio_features,6SRsiMl7w1USE4mFqrOhHC,spotify:track:6SRsiMl7w1USE4mFqrOhHC,https://api.spotify.com/v1/tracks/6SRsiMl7w1USE4mFqrOhHC,https://api.spotify.com/v1/audio-analysis/6SRsiMl7w1USE4mFqrOhHC,143747.0,4.0,SOUR,6s84u2TUpR3wdUv4NgKA2j
817,brutal___Olivia Rodrigo,2022-03-28 03:14,Olivia Rodrigo,brutal,30151,2022-03-28 03:14:00,0.672,0.526,4.0,-6.446,1.0,0.0599,0.0311,1.37e-06,0.28,0.28,123.999,audio_features,6SRsiMl7w1USE4mFqrOhHC,spotify:track:6SRsiMl7w1USE4mFqrOhHC,https://api.spotify.com/v1/tracks/6SRsiMl7w1USE4mFqrOhHC,https://api.spotify.com/v1/audio-analysis/6SRsiMl7w1USE4mFqrOhHC,143747.0,4.0,SOUR,6s84u2TUpR3wdUv4NgKA2j
